FRESATITAN      EQUIP: REF 040  Fressadora FANUC 2         DATA: 2025            229AG695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;incidències 1;incidències 2;TOTAL US;TOTAL  INCIDÈNCIES
10/06/2025;11:45;Gerard;Gerard;13:00;Gerard;OK;13:00;Gerard;Gerard;14:00;Gerard;OK;14:00;Gerard;Gerard;14:45;Gerard;OK;;;;;;;;;;;;;;;3;
11/06/2025;12:00;Gerard;Gerard;13:30;Gerard;OK;13:30;Gerard;Gerard;15:00;Gerard;OK;15:00;Gerard;Gerard;16:30;Gerard;OK;;;;;;;;;;;;;;;3;
12/06/2025;11:45;Gerard;Gerard;12:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
13/06/2025;11:05;Gerard;Gerard;12:05;Gerard;OK;13:00;Gerard;Gerard;15:10;Gerard;OK;15:15;Gerard;Gerard;17:30;Gerard;OK;17:30;Gerard;Gerard;18:30;Gerard;OK;;;;;;;;;4;
16/06/2025;12:45;Gerard;Gerard;13:30;Gerard;OK;13:45;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;16:30;Gerard;OK;;;;;;;;;;;;;;;3;
18/06/2025;12:00;Gerard;Gerard;12:45;Gerard;OK;13:00;Gerard;Gerard;14:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
19/06/2025;12:00;Gerard;Gerard;13:30;Gerard;OK;13:00;Toni;Toni;13:30;Gerard;OK;13:30;Gerard;Gerard;14:45;Gerard;OK;;;;;;;;;;;;;;;3;
23/06/2025;11:30;Gerard;Gerard;13:45;Gerard;OK;14:30;Gerard;Gerard;15:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
25/06/2025;12:15;Gerard;Gerard;13:00;Gerard;OK;13:15;Gerard;Gerard;14:30;Gerard;OK;14:30;Gerard;Gerard;15:30;Gerard;OK;;;;;;;;;;;;;;;3;
26/06/2025;12:00;Gerard;Gerard;13:00;Gerard;OK;13:00;Gerard;Gerard;15:00;Gerard;OK;15:00;Gerard;Gerard;15:30;Gerard;OK;;;;;;;;;;;;;;;3;
27/06/2025;13:15;Gerard;Gerard;15:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
30/06/2025;13:15;Gerard;Gerard;14:00;Gerard;OK;15:30;Gerard;Gerard;????;????;OK;;;;;;;;;;;;;;;;;;;;;2;
JUNY 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Juny 25;44;
01/07/2025;12:00;Gerard;Gerard;14:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
03/07/2025;14:00;Gerard;Gerard;15:45;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
04/07/2025;12:30;Gerard;Gerard;13:15;Gerard;OK;13:15;Gerard;Gerard;14:30;Gerard;OK;18:15;Gerard;Gerard;19:00;Gerard;OK;;;;;;;;;;;;;;;3;
08/07/2025;13:00;Gerard;Gerard;15:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
14/07/2025;12:15;Gerard;Gerard;13:45;Gerard;OK;13:45;Gerard;Gerard;15:00;Gerard;OK;15:00;Gerard;Gerard;16:00;Gerard;OK;;;;;;;;;;;;;;;3;
15/07/2025;12:00;Gerard;Gerard;13:00;Gerard;OK;13:15;Gerard;Gerard;14:30;Gerard;OK;15:00;Gerard;Gerard;16:00;Gerard;OK;;;;;;;;;;;;;;;3;
16/07/2025;13:00;Gerard;Gerard;14:00;Gerard;OK;14:00;Gerard;Gerard;15:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
17/07/2025;11:45;Gerard;Gerard;12:30;Gerard;OK;12:30;Gerard;Gerard;14:30;Gerard;OK;15:15;Gerard;Gerard;17:00;Gerard;OK;;;;;;;;;;;;;;;3;
18/07/2025;12:30;Gerard;Gerard;14:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
JULIOL 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Juliol 25 ;18;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
